text,label
let want house 8am,0
wait 4 u lor need 2 feel bad lar,0
2 oz guy kinda flaky one friend interested picking ltgt worth tonight possible,0
7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sm 1st ur lovely friendship good morning dear,0
total disappointment texted wa craziest shit got,0
ur awarded city break could win å£200 summer shopping spree every wk txt store 88039skilgmetscs087147403231winawkage16å£150perwksub,1
well done blimey exercise yeah kinda remember wot hmm,0
congrats 2 mobile 3g videophones r call 09061744553 videochat wid ur mate play java game dload polyh music noline rentl bx420 ip4 5we 150pm,1
love know feel doe make belly warm wish doe love shall meet dream ahmad adoring kiss,0
entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went,0
ringtone club gr8 new polys direct mobile every week,1
messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,0
yo im parent gettin cash good news picked downstem,0
oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
u secret admirer reveal think u r special call 09065174042 opt reply reveal stop 150 per msg recd cust care 07821230901,1
minimum walk 3miles day,0
normally use drink water daily,0
sure driving reach destination soon,0
neva mind ok,0
u wearing,0
thought king hill thing,0
class ltgt reunion,0
winner specially selected receive å£1000 cash å£2000 award speak live operator claim call 087147123779am7pm cost 10p,1
new year eve wa ok went party boyfriend si hey,0
esplanade lor else,0
taking half day leave bec well,0
telling coulda real valentine wasnt u never pick nothing,0
donû÷t give flying monkey wot think certainly donû÷t mind friend mine,0
planned yet going join company jan 5 onlydon know happen,0
iû÷m going try 2 month ha ha joking,0
ur paper e morn aft tmr,0
didnt get second half message,0
tell friend come round til like ltgt ish,0
kkim also finewhen complete course,0
haf u found feel stupid da v cam wa working,0
todaysundaysunday holidayso work,0
yeah got 2 wa v apologetic n fallen wa actin like spoilt child got caught till 2 wont go badly cheer,0
forgot 2 ask ì smth card da present lei ìï want 2 write smth sign,0
pete please ring meive hardly gotany credit,0
haha cant tmr forfeit haha,0
nothing smsing u n xy lor sorry lor da guy neva c u person sort know u lor u wan 2 meet xy ask 2 bring u along 4 next meeting,0
know called,0
hi im sue 20 year old work lapdancer love sex text live im bedroom text sue 89555 textoperator g2 1da 150ppmsg 18,1
missed call cause wa yelling scrappy miss u cant wait u come home im lonely today,0
sport fan get latest sport news str 2 ur mobile 1 wk free plus free tone txt sport 8007 wwwgetzedcouk 0870141701216 norm 4txt120p,1
yeah think use gt atm register sure anyway help let know sure ready,0
hello hello hi lou sorry took long 2 reply left mobile friend lancaster got bak neway im sorry couldnåõt make ur båõday 2 hun,0
yes dont care need bad princess,0
take ltgt min,0
hi wont b ard 4 christmas enjoy n merry xmas,0
latebut kwish,0
hi sexychat girl waiting text text great night chatting send stop stop service,1
pls go ahead watt wanted sure great weekend abiola,0
guess got screwd,0
edison ha rightly said fool ask question wise man answer know u speechless viva gm,0
jus hope true missin co im really missin havent done anything feel guilty yet,0
ohas usual vijay film different,0
sister belongs 2 family hope tomorrow pray 4 herwho wa fated 4 shoranur train incident let hold hand together amp fuelled love amp concern prior 2 grief amp pain pls join dis chain amp pas stop violence woman,0
know pls open back,0
nt driving even many reason called bbdthts chikku hw abt dvg coldheard tht vinobanagar violence hw conditionand hw ru problem,0
sat right okay thanks,0
ha donû÷t know either clever simple thing pear day perfect christmas,0
urgent mobile number å£2000 bonus caller prize 100603 2nd attempt reach call 09066368753 asap box 97n7qp 150ppm,1
didt play one day last year know even though good team like india,0
reminder o2 get 250 pound free call credit detail great offer pls reply 2 text valid name house postcode,1
ive reached sch already,0
well wasnt available washob nobbing last night ask nickey platt instead,0
im fine hope good take care,0
good morning repair shopthe reason im hour,0
possession especially first offense,0
thats rude campus,0
k youre sure dont consent form v,0
would like see xxx pic hot nearly banned uk,1
good trip watch remember get back must decide easter,0
oh ok prob,0
hello sort town already dont rush home eating nacho let know eta,0
near kalainar tv officethenampet,0
dating service ha asked 2 contact u someone shy call 09058091870 revealed pobox84 m26 3uz 150p,1
kate jackson rec center 7ish right,0
could kiss feel next,0
dear good morning,0
amazing rearrange letter give meaning dormitory dirty room astronomer moon starer eye see election result lie let recount motherinlaw woman hitler eleven plus two twelve plus one amazing,0
oh thanks loti already bought 2 egg,0
cheer callin babesozi culdnt talkbut wannatell u detail later wenwecan chat properly x,0
im done,0
yavnt tried yet never played original either,0
wa bugis juz wat im walking home oredi ìï late reply oso saw top dat like din buy r ì,0
hungry,0
ever easier,0
im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday,0
sitting ard nothing lor u leh busy w work,0
plan family set stone,0
aight yo dat straight dogg,0
yesterday going home,0
ok set let u noe e detail later,0
abj serving staying dad alone,0
heygreat dealfarm tour 9am 5pm 95pax 50 deposit 16 may,0
wat happened cruise thing,0
please send aunty number,0
nothing splwat abt u whr ru,0
yeah go bored depressed sittin waitin phone ring hope wind drop though scary,0
beauty life next second hide thousand secret wish every second wonderful ur life gud n8,0
nope juz work,0
erm woodland avenue somewhere get parish magazine telephone number,0
ok msg u b4 leave house,0
look fuckin time fuck think,0
aight im chillin friend room text youre way,0
heart empty without love mind empty without wisdom eye r empty without dream amp life empty without frnds alwys touch good night amp sweet dream,0
aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,0
winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1
saturday sunday holiday difficult,0
sorry dai wa thought calling lot timeslil busyi call noon,0
late,0
guy kadeem hasnt selling since break know one guy paranoid fuck doesnt like selling without cant til late tonight,0
imagine life without see fast u searching medont worry lm always disturb u goodnoon,0
height oh shit situation guy throw luv letter gal fall brother head gay,0
got outta class gon na go gym,0
loosu go hospital de dont let careless,0
mean still think teju,0
yo dude guess got arrested day,0
k dahow many page want,0
thanks lot wish birthday thanks making birthday truly memorable,0
purity friendship two smiling reading forwarded messageits smiling seeing name gud evng musthu,0
wa random saw old roomate campus graduated,0
best watch say cause get drunk motherfucker,0
u studying sch going home anyway ill b going 2 sch later,0
ha ha ha good joke girl situation seeker,0
see requirement please,0
cal sir meeting,0
think mentor 100 percent sure,0
tell happen dont behave like ok need say,0
released another italian one today ha cosign option,0
babe lost,0
mm time dont like fun,0
like made throw smoking friend car one time wa awesome,0
tomarrow want got court ltdecimalgt come bus stand 9,0
im way home went change batt 4 watch go shop bit lor,0
aiyo bit pai seh ì noe scared dun rem die hee become better lookin oredi leh,0
juz go google n search 4 qet,0
registered sinco payee log icicibankcom enter urn ltgt confirm beware fraud share disclose urn anyone,0
ok sure time tho sure get library class try see point good eve,0
nimbomsons yep phone know one obviously co thats real word,0
film ill call later,0
ì call 1010 make sure dat ive woken,0
4 taco 1 raja burrito right,0
want send something sell fast ltgt k easy money,0
noe ì specify da domain nusstu ìï still sch,0
hey babe sorry didnt get sooner gary come fix cause think know doesnt go far ptbo say cost ltgt buck dont know might cheaper find someone dont second hand machine right let know want babe,0
mila age23 blonde new uk look sex uk guy u like fun text mtalk 6986618 30pptxt 1st 5free å£150 increment help08718728876,1
sleeping nt feeling well,0
kit strip billed 150p netcollex ltd po box 1013 ig11 oja,1
prof passed paper sem congrats student enna kalaachutaarama prof gud mrng,0
absolutely love south park recently started watching office,0
u mean u almost done done wif sleeping tot u going take nap yup send liao im picking ard 4 smth lor,0
yeah barely enough room two u x ha many fucking shoe sorry man see later,0
please leave topicsorry telling,0
come alivebetter correct good looking figure,0
baaaaaaaabe wake miss crave need,0
lol always convincing,0
cooked rather nice salmon la,0
serious like proper tongued,0
cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x,0
cool ltgt inch long hope like big,0
hot live fantasy call 08707500020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,1
ki didt see youkwhere,0
urgent mobile wa awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm,1
house e sky quite dark liao raining got excuse 2 run already rite hee,0
customer service announcement recently tried make delivery unable please call 07099833605 reschedule ref9280114,1
want show world princess europe,0
get free call,0
oh rite well im best mate pete went 4 week 2geva longer week,0
finished work yet,0
booked ticket pongal,0
private 2003 account statement 07808 xxxxxx show 800 unredeemed point call 08719899217 identifier code 41685 expires 071104,1
pls speak wont ask anything friendship,0
free top ringtone sub weekly ringtoneget 1st week freesend subpoly 816183 per weekstop sms08718727870,1
dropped em omw back,0
long doe take get,0
kkgoodstudy well,0
2nd time tried contact u u å£400 prize 2 claim easy call 087104711148 10p per minute btnationalrate,1
ìï comin fetch u oredi,0
1appledayno doctor 1tulsi leafdayno cancer 1lemondayno fat 1cup milkdayno bone problms 3 litre watrdayno disease snd th 2 u care,0
shall ask one thing dont mistake,0
wrong phone phone answer one assume people dont well,0
k sure relative home sm de pls,0
sweet heart,0
spoil bed well,0
know hows anthony bringing money ive school fee pay rent stuff like thats need help friend need,0
hey sexy bun day word morning ym think,0
several sir,0
well lot thing happening lindsay new year sigh bar ptbo blue heron ha something going,0
8007 25p 4 alfie moon child need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charity,1
hello need posh bird chap user trial prod champneys put need address dob asap ta r,1
urgent please call 09061213237 landline å£5000 cash 4 holiday await collection c sae po box 177 m227xy 16,1
ok lor buy wat,0
ki deleted contact,0
misplaced number wa sending text old number wondering ive heard year best mcat got number atlanta friend,0
tell said eat shit,0
sure neighbor didnt pick,0
ur hmv quiz cashbalance currently å£500 maximize ur cashin send hmv1 86688 150pmsg,1
u nokia 6230 plus free digital camera u get u win free auction take part send nokia 83383 pobox11414tcrw1 16,1
online transaction,0
im done oredi,0
also know lunch menu da know,0
yeah open chat click friend list make list easy pie,0
send id password,0
dont anybodys number still havent thought tactful way ask alex,0
pls dont play others life,0
hot live fantasy call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,1
link picture ha sent also use httpalto18coukwavewaveaspo44345,1
think might give miss teaching til twelve lecture two damn working thing,0
oooh got plenty,0
id say thats good sign well know track record reading woman,0
thanks ringtone order ref number r836 mobile charged å£450 tone arrive please call customer service 09065069154,1
vote wherever heart guide,0
07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,1
remember,0
shall call dear food,0
final chance claim ur å£150 worth discount voucher today text yes 85023 savamob member offer mobile c savamob pobox84 m263uz å£300 sub 16,1
free msgwe billed mobile number mistake shortcode 83332please call 08081263000 charge refundedthis call free bt landline,1
sorry mate phone didnt write love kate,0
senthil group company apnt 5pm,0
wishing family merry x happy new year advance,0
take post ha come must 1000 text happy reading one wiv hello caroline end favourite bless,0
want new nokia 3510i colour phone deliveredtomorrow 300 free minute mobile 100 free text free camcorder reply call 08000930705,1
im reaching another 2 stop,0
went ur hon lab one,0
kkhow much doe cost,0
lol could starve lose pound end day,0
ìï log 4 wat sdryb8i,0
way ur home,0
remains bro amongst bros,0
yar lor u noe u used dat route,0
give one miss number please,0
much textin bout,0
yup,0
annoying isnt,0
hello orange 1 month free access game news sport plus 10 free text 20 photo message reply yes term apply wwworangecoukow,1
let know change next 6hrs even appendix age range however impossible chill let know 6hrs,0
leave de start prepare next,0
problem walk around julianaland oblivious going around say thing constantly go one ear go whatever want dont know im upsetits dont listen tell going upset want surprised im mad,0
oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
u wake already thanx 4 e tau sar piah quite nice,0
im movie call 4 wat,0
project pa come,0
single line big meaning miss anything 4 ur best life,0
cocksucker make feel better ipads worthless garbage novelty item feel bad even wanting one,0
anyone call treadmill say youll buy make sure working found ad craigslist selling ltgt,0
yo yo yo byatch whassup,0
haha okay today weekend leh,0
normally hot mail com see,0
sorry cant take call right happens r 2waxsto wat want come ill get medical insurance shell able deliver basic care im currently shopping right medical insurance give til friday morning thats ill see major person guide right insurance,0
18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222,1
k pick another 8th youre done,0
ok,0
good night dear sleepwellamptake care,0
urgent ur awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj,1
dont know ask brother nothing problem thing told,0
jus chillaxin,0
mum ask ì buy food home,0
5 free top polyphonic tone call 087018728737 national rate get toppoly tune sent every week text subpoly 81618 å£3 per pole unsub 08718727870,1
ok,0
forgot tell ì smth ì like number section clearer,0
congratulation ur awarded either yr supply cd virgin record mystery gift guaranteed call 09061104283 tscs wwwsmsconet å£150pm approx 3mins,1
busy trying finish new year looking forward finally meeting,0
ur chance win å£250 cash every wk txt action 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk,1
picked receipt something earlier,0
uûªve bin awarded å£50 play 4 instant cash call 08715203028 claim every 9th player win min å£50å£500 optout 08718727870,1
yes im small kid boost secret energy,0
please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize,1
geeee miss already know think fuck cant wait till next year together loving kiss,0
ok every night take warm bath drink cup milk youll see work magic still need loose weight know,0
dont message offer,0
eat fo lunch senor,0
thank like well,0
hey around ive got enough half ten owe,0
okay well thanks clarification,0
even friend priest call,0
yeah jay sort fucking retard,0
sign maturity start saying big thing actually start understanding small thing nice evening bslvyl,0
ok lor,0
mmm fuck merry christmas,0
woke yeesh late didnt fall asleep til ltgt,0
way office da,0
love aathilove u lot,0
friend shes studying warwick weve planned go shopping concert tmw may canceled havnt seen age yeah get together sometime,0
yes princess want catch big strong hand,0
youll get headache trying figure u trust math promise,0
nope waiting sch 4 daddy,0
okie thanx,0
doe operate ltgt,0
hows feel mr real valentine yo valentine even tho u hardly play,0
want lick pussy,0
ya cant display internal sub got ta extract,0
good morning plz call sir,0
type stuff sing,0
juz remembered got ta bathe dog today,0
cant talk nowi call candont keep calling,0
ki give kvb acc detail,0
hey late ah meet 945,0
couldnt say dying man feel sad go wanted know would probably gone late night,0
yup thk u oso boring wat,0
hmm ok ill stay like hour co eye really sore,0
lick every drop ready use mouth well,0
thats said bad dat e gal know u wat u,0
shes good r u working,0
thank winner notified sm good luck future marketing reply stop 84122 customer service 08450542832,1
123 congratulation week competition draw u å£1450 prize claim call 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm,1
hi missed call mumhas beendropping red wine theplace adress,0
mobile 10 mths update latest orange cameravideo phone free save å£s free textsweekend call text yes callback orno opt,1
dont know bring food,0
hey chief give bell get need talk royal visit 1st june,0
jay want work first hows 4 sound,0
wa farm open,0
hmmmkbut want change field quickly dai wan na get system administrator network administrator,0
place ur point e culture module already,0
correct wa work today,0
happy birthday may ur dream come true,0
wa actual exam harder nbme,0
nt yet chikkusimple habbahw abt u,0
new textbuddy chat 2 horny guy ur area 4 25p free 2 receive search postcode gaytextbuddycom txt one name 89693,1
nan sonathaya soladha bos,0
say hi get back south tampa preferably kegger,0
wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
town v important,0
sorry ill call later,0
ur chance win å£250 cash every wk txt play 83370 tscs wwwmusictrivianet custcare 08715705022 1x150pwk,1
going write ccna exam week,0
way home long dry spell season would,0
lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend,0
ok many buy,0
ì© 140 ardìä rest ard 180 leastwhich ì© price 4 ì© 2 bedrm 900,0
sent score sophas secondary application school think thinking applying research cost also contact joke ogunrinde school one less expensive one,0
nottel software name,0
dont pick call something important tell hrishi,0
come n pick ì come immediately aft ur lesson,0
oh oh wasted den muz chiong sat n sun liao,0
also cbe pay,0
dont want hear anything,0
phone,0
also north carolina texas atm would go gre site pay test result sent,0
k k sm chat,0
wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal,0
lol would mom would fit tell whole family crazy terrible,0
two team waiting player,0
yesmum lookin strong,0
sindu got job birla soft,0
k want u come,0
congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066,1
asked 3mobile 0870 chatlines inclu free min india cust servs sed yes l8er got mega bill 3 dont giv shit bailiff due day å£250 3 want å£800,1
night ha ended another day morning ha come special way may smile like sunny ray leaf worry blue blue bay gud mrng,0
tell need investigate anywhere,0
ìï home work meh,0
wish u many many return day happy birthday vikky,0
kkcongratulation,0
im coming home 4 dinner,0
naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt,0
sorry sent blank msg yup trying 2 serious studying,0
nooooooo im gon na bored death day cable internet outage,0
nope ill b going 2 sch fri quite early lor co mys si got paper da morn,0
seeing missed call dear brother gr8 day,0
wa actually sleeping still might u call back text gr8 rock si send u text wen wake,0
call plz number show coveragd area urgnt call vasai amp reach 4o clock call plz,0
oh k come tomorrow,0
want latest video handset 750 anytime network min half price line rental reply call 08000930705 delivery tomorrow,1
bus way calicut,0
gentle baby soon taking ltgt inch deep inside tight pussy,0
sorry cant text amp drive coherently see twenty,0
would smoking help u work difficult time,0
hey company elama po mudyadhu,0
okie,0
love give massage use lot baby oil fave position,0
wait ltgt min,0
get step 2 outta way congrats,0
see thought,0
wat ì,0
r u yet im wearing blue shirt n black pant,0
asked sen come chennai search job,0
start sending blackberry torch nigeria find buyer melike 4a month tell dad buy bb anyone oh,0
forget tell want need crave love sweet arabian steed mmmmmm yummy,0
ok lor ì reaching message,0
freemsg today day ready im horny live town love sex fun game netcollex ltd 08700621170150p per msg reply stop end,1
congrats 2 mobile 3g videophones r call 09063458130 videochat wid mate play java game dload polyph music noline rentl,1
made day great day,0
haha think,0
either way work ltgt year old hope doesnt bother,0
call later afternoon onwords mtnl service get problem south mumbai hear cannt listen,0
takin shower yeah ill leave im done,0
hi wlcome back wonder got eaten lion something nothing much,0
ìï still attending da talk,0
mila age23 blonde new uk look sex uk guy u like fun text mtalk 6986618 30pptxt 1st 5free å£150 increment help08718728876,1
sending greeting joy happiness gr8 evening,0
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
people see msg think iam addicted msging wrong bcoz dont know iam addicted sweet friend bslvyl,0
chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,1
cheer u tex mecause u werebored yeah okden hunny r uin wk satsoundåõs likeyour havin gr8fun j keep updat countinlots loveme xxxxx,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,0
come guoyang go n tell u told,0
noits ful song lyric,0
oh k kbut big hitteranyway good,0
sorry man accidentally left phone silent last night didnt check til got,0
yeah imagine would really gentle unlike doc treat patient like turkey,0
sorry man stash ran dry last night cant pick sunday,0
bognor splendid time year,0
blank blank wat blank lol,0
watching cartoon listening music amp eve go temple amp church u,0
master buy bb co sale hows bf,0
life ha never much fun great came made truly special wont forget enjoy one gbpsms,1
usualiam fine happy amp well,0
castor need see something,0
thanks picking trash,0
thk 530 lor dunno get ticket wat u,0
wa slept timeyou,0
jamster get free wallpaper text heart 88888 tc apply 16 need help call 08701213186,1
arm fine hows cardiff uni,0
think tantrum finished yeah ill point,0
ok lor go tog lor,0
leaving yet ok lor go elsewhere n eat u thk,0
arrived see couple day lt3,0
ne thing interesting good birthday u wrking nxt started uni today,0
responding,0
aight rush ill ask jay,0
hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem,0
,0
vikky come around lttimegt,0
career tel added u contact indyarockscom send free sm remove phonebook sm ltgt,0
good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougarpen,0
went pay rent go bank authorise payment,0
new 2 club dont fink met yet b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply promised carlie x callså£1minmobsmore lkpobox177hp51fl,1
first answer question,0
went project centre,0
whenevr ur sad whenevr ur gray remembr im 2 listn 2 watevr u wan na say jus walk wid little whileamp promise ill bring back ur smile,0
hi spoke maneesha v wed like know satisfied experience reply toll free yes,0
thnx dude u guy 2nite,0
slave want take 2 3 picture today bright light cell phone bright light,0
mmmm fuck fair know weakness grin push knee expose belly pull head dont forget know wicked smile,0
ok ill send ltdecimalgt ok,0
de asking like,0
ok problem get taxi c ing tomorrow tuesday tuesday think r going cinema,0
im office call ltgt min,0
must come later normally bathe da afternoon mah,0
wait msg ltgt min,0
urgent trying contact u today draw show å£2000 prize guaranteed call 09058094507 land line claim 3030 valid 12hrs,1
campus library,0
cd 4u congratulation ur awarded å£500 cd gift voucher å£125 gift guaranteed freeentry 2 å£100 wkly draw xt music 87066 tncs wwwldewcom1win150ppmx3age16,1
dnt worryuse ice piece cloth packalso take 2 tablet,0
otherwise part time job natuition,0
ok thats cool either raglan rd edward rd behind cricket ground gim ring ur closeby see tuesday,0
ok go change also,0
lei,0
updatenow 12mths half price orange line rental 400minscall mobileupd8 08000839402 call2optoutj5q,1
one small prestige problem,0
love isnt decision feeling could decide love life would much simpler less magical,0
know grumpy old people mom wa like better lying always one play joke,0
boo hows thing im back home little bored already,0
hey look like wa wrong one kappa guy number still phone want text see around,0
sound like many talent would like go dinner date next week,0
u ever get song stuck head reason wont go away til u listen like 5 time,0
ok u take shopping u get paid,0
1 new message please call 08718738034,1
except chick huge boob,0
new year plan,0
lateso call tomorrow morningtake care sweet dreamsu meummifyingbye,0
im used hope agent dont drop since ive booked thing year whole boston nyc wa experiment,0
peteis phone still jenny college leannewhat,0
